"","p_c_unity","start_codon","number","specie"
"1","0","ATG",2811,"S_ruber"
"2","1","ATG",2925,"S_ruber"
"3","2","ATG",2781,"S_ruber"
"4","3","ATG",2951,"S_ruber"
"5","4","ATG",2771,"S_ruber"
"6","5","ATG",2706,"S_ruber"
"7","6","ATG",2845,"S_ruber"
"8","7","ATG",2675,"S_ruber"
"9","0","GTG",263,"S_ruber"
"10","1","GTG",270,"S_ruber"
"11","2","GTG",256,"S_ruber"
"12","3","GTG",278,"S_ruber"
"13","4","GTG",243,"S_ruber"
"14","5","GTG",242,"S_ruber"
"15","6","GTG",263,"S_ruber"
"16","7","GTG",248,"S_ruber"
"17","0","TTG",19,"S_ruber"
"18","1","TTG",35,"S_ruber"
"19","2","TTG",19,"S_ruber"
"20","3","TTG",19,"S_ruber"
"21","4","TTG",19,"S_ruber"
"22","5","TTG",18,"S_ruber"
"23","6","TTG",18,"S_ruber"
"24","7","TTG",14,"S_ruber"
